19 19
10 10
37 37
80 75
47 46
33 33
42 42
67 66
75 73
18 18
58 57
33 33
15 15
20 20
14 14
75 73
87 83
99 88
81 78
60 59
72 71
81 76
40 39
96 86
26 26
62 62
1 1
92 80
39 39
85 81
78 75
96 84
72 70
5 5
81 77
58 57
56 55
20 20
61 59
82 78
53 52
78 71
32 31
35 35
53 52
12 12
52 51
64 63
75 74
80 76
84 81
43 42
56 55
99 84
83 80
67 65
55 54
22 22
84 79
2 2
39 39
16 16
98 86
85 82
59 59
78 76
51 50
72 70
64 64
34 34
8 8
11 11
29 29
25 25
45 44
50 50
82 73
13 13
74 70
49 49
67 66
5 5
50 50
83 78
91 82
76 76
41 40
95 85
67 65
77 72
84 79
42 41
55 54
34 33
93 82
78 70
35 34
84 75
72 70
81 72
18 18
52 51
99 84
16 16
7 7
72 70
72 70
95 78
69 67
78 77
31 31
54 53
80 77
61 60
63 62
20 20
49 49
76 74
80 77
37 37
35 35
75 73
4 4
27 26
34 34
45 44
38 38
74 70
6 6
54 53
32 31
16 15
30 30
55 54
38 37
8 8
65 64
85 82
28 27
83 80
69 68
60 58
86 77
94 85
30 30
48 48
22 22
73 69
30 29
77 77
node_expanded_min: 1
max_node_expanded_min: 1
node_expanded_max: 99
max_node_expanded_max: 88
node_expanded_medium: 56
max_node_expanded_medium: 55
node_expanded_average: 54.2933
max_node_expanded_average: 51.9333
