70 4
115 4
493 7
342 5
214 6
635 7
266 6
212 5
184 5
1263 8
37 4
1256 9
367 6
115 4
987 8
627 7
90 4
868 8
1165 8
237 5
386 6
1861 10
1323 9
1113 8
1346 10
1438 9
1339 9
726 8
232 6
1406 9
386 7
1021 7
422 7
1201 8
418 7
506 6
68 4
1068 8
620 7
450 7
736 8
53 4
781 8
352 5
524 6
73 4
360 6
291 6
989 8
221 5
983 7
114 4
1048 8
1522 9
98 4
2187 11
89 4
457 6
1111 8
451 6
631 6
1319 9
624 8
1904 10
1837 9
60 4
435 6
1235 8
946 7
228 5
734 8
270 5
608 7
930 7
281 5
203 5
1336 8
374 6
282 5
167 5
722 8
756 7
28 3
120 5
462 7
896 7
2236 10
318 5
534 6
51 4
684 7
798 7
354 6
246 6
1075 9
873 7
441 6
824 8
602 7
404 7
386 6
1382 9
2058 10
166 5
157 5
691 8
870 9
400 7
226 5
100 5
124 5
16 3
326 6
38 3
98 4
508 7
558 6
190 5
2080 10
1159 9
18 3
130 5
613 7
417 7
449 6
692 7
602 6
1013 7
173 5
786 7
129 4
234 5
271 5
43 3
225 5
158 5
1221 8
202 5
954 7
1151 8
797 8
631 7
149 5
455 6
435 6
623 6
791 7
142 5
33 3
500 7
node_expanded_min: 16
max_node_expanded_min: 3
node_expanded_max: 2236
max_node_expanded_max: 11
node_expanded_medium: 457
max_node_expanded_medium: 6
node_expanded_average: 611.407
max_node_expanded_average: 6.44
