12 9
25 15
25 15
25 12
21 10
23 15
4 3
25 11
25 11
13 10
23 15
22 13
5 4
1 0
21 15
19 10
17 10
25 10
24 15
23 11
23 13
17 10
22 12
8 6
22 12
20 12
22 15
22 11
15 11
24 16
23 11
21 11
25 11
25 16
12 8
25 10
22 13
15 10
16 10
25 11
18 11
16 10
24 15
22 11
25 15
16 11
18 12
1 0
25 12
4 3
25 12
25 12
24 12
25 12
24 11
23 15
25 16
1 0
25 12
14 10
23 12
25 11
25 11
21 10
9 6
25 11
19 14
24 15
25 15
19 11
22 15
24 15
23 12
25 11
21 12
24 13
22 15
14 10
25 12
25 12
25 12
23 11
25 15
8 6
23 12
24 16
24 16
21 10
25 11
18 11
25 12
25 13
11 9
24 16
15 11
14 10
24 15
23 15
15 11
25 12
25 10
25 12
25 10
10 8
15 11
3 2
13 10
25 16
23 12
23 15
19 11
25 12
19 14
23 15
24 15
23 15
25 12
1 0
25 15
25 15
25 13
22 13
25 12
25 12
20 12
25 12
25 15
22 15
14 10
25 12
25 13
10 8
1 0
22 13
23 15
25 12
25 15
25 15
21 12
10 8
25 15
25 12
15 11
25 12
22 12
25 12
25 12
19 12
22 13
23 12
node_expanded_min: 1
max_node_expanded_min: 0
node_expanded_max: 25
max_node_expanded_max: 16
node_expanded_medium: 23
max_node_expanded_medium: 12
node_expanded_average: 20.3733
max_node_expanded_average: 11.5467
