753 744
876 864
820 806
953 941
2018 1936
290 289
660 653
69 69
942 930
1290 1268
node_expanded_min: 69
max_node_expanded_min: 69
node_expanded_max: 2018
max_node_expanded_max: 1936
node_expanded_medium: 876
max_node_expanded_medium: 864
node_expanded_average: 867.1
max_node_expanded_average: 850
